,Unnamed: 0_x,ZIPCODE,CUISINECODE,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,Unnamed: 0_y,geocode
170375,317267,10002,20.0,02G,38.0,,,1,"(40.7135097, -73.9859414)"
170376,317323,10002,14.0,06D,22.0,,,1,"(40.7135097, -73.9859414)"
170377,317555,10002,20.0,02G,42.0,,,1,"(40.7135097, -73.9859414)"
170378,317556,10002,20.0,10B,12.0,B,2011-08-12 00:00:00,1,"(40.7135097, -73.9859414)"
170379,317557,10002,20.0,02G,70.0,,,1,"(40.7135097, -73.9859414)"
170380,317558,10002,20.0,05D,70.0,,,1,"(40.7135097, -73.9859414)"
170381,317559,10002,20.0,06C,13.0,B,2012-12-18 00:00:00,1,"(40.7135097, -73.9859414)"
170382,317560,10002,20.0,08C,16.0,C,2013-06-11 00:00:00,1,"(40.7135097, -73.9859414)"
170383,317561,10002,20.0,04N,37.0,,,1,"(40.7135097, -73.9859414)"
170384,317807,10002,20.0,06E,16.0,,,1,"(40.7135097, -73.9859414)"
170385,317808,10002,20.0,10F,16.0,,,1,"(40.7135097, -73.9859414)"
170386,317853,10002,20.0,06C,27.0,,,1,"(40.7135097, -73.9859414)"
170387,317854,10002,20.0,05D,18.0,C,2011-12-15 00:00:00,1,"(40.7135097, -73.9859414)"
170388,317855,10002,20.0,06C,20.0,,,1,"(40.7135097, -73.9859414)"
170389,317856,10002,20.0,10J,9.0,B,2012-05-01 00:00:00,1,"(40.7135097, -73.9859414)"
170390,317857,10002,20.0,06A,28.0,,,1,"(40.7135097, -73.9859414)"
170391,317858,10002,20.0,10B,16.0,C,2013-06-11 00:00:00,1,"(40.7135097, -73.9859414)"
170392,317859,10002,20.0,04A,37.0,,,1,"(40.7135097, -73.9859414)"
170393,317860,10002,20.0,06D,37.0,,,1,"(40.7135097, -73.9859414)"
170394,317983,10002,20.0,02G,60.0,,,1,"(40.7135097, -73.9859414)"
170395,317984,10002,20.0,06A,13.0,B,2011-09-26 00:00:00,1,"(40.7135097, -73.9859414)"
170396,317985,10002,20.0,02G,25.0,B,2012-01-17 00:00:00,1,"(40.7135097, -73.9859414)"
170397,317986,10002,20.0,09A,25.0,B,2012-01-17 00:00:00,1,"(40.7135097, -73.9859414)"
170398,317987,10002,20.0,04L,25.0,,,1,"(40.7135097, -73.9859414)"
170399,317988,10002,20.0,15K,,,,1,"(40.7135097, -73.9859414)"
170400,317989,10002,20.0,05F,29.0,,,1,"(40.7135097, -73.9859414)"
170401,318066,10002,20.0,06C,23.0,C,2011-06-14 00:00:00,1,"(40.7135097, -73.9859414)"
170402,318067,10002,20.0,06A,25.0,,,1,"(40.7135097, -73.9859414)"
170403,318265,10002,20.0,08A,25.0,,,1,"(40.7135097, -73.9859414)"
170404,318266,10002,20.0,04H,13.0,B,2012-09-06 00:00:00,1,"(40.7135097, -73.9859414)"
170405,318267,10002,20.0,06F,71.0,,,1,"(40.7135097, -73.9859414)"
170406,318400,10002,99.0,06D,41.0,C,2012-02-02 00:00:00,1,"(40.7135097, -73.9859414)"
170407,318401,10002,99.0,10H,41.0,C,2012-02-02 00:00:00,1,"(40.7135097, -73.9859414)"
170408,318402,10002,99.0,05D,25.0,,,1,"(40.7135097, -73.9859414)"
170409,318403,10002,99.0,06E,25.0,,,1,"(40.7135097, -73.9859414)"
170410,318417,10002,20.0,02G,19.0,,,1,"(40.7135097, -73.9859414)"
170411,318418,10002,20.0,04L,44.0,,,1,"(40.7135097, -73.9859414)"
170412,318419,10002,20.0,02G,42.0,,,1,"(40.7135097, -73.9859414)"
170413,318420,10002,20.0,05D,42.0,,,1,"(40.7135097, -73.9859414)"
170414,318421,10002,20.0,04C,9.0,A,2012-01-10 00:00:00,1,"(40.7135097, -73.9859414)"
170415,318448,10002,28.0,02G,27.0,,,1,"(40.7135097, -73.9859414)"
170416,318449,10002,28.0,10F,18.0,,,1,"(40.7135097, -73.9859414)"
170417,318450,10002,28.0,06C,20.0,,,1,"(40.7135097, -73.9859414)"
170418,318451,10002,28.0,04M,51.0,,,1,"(40.7135097, -73.9859414)"
170419,318693,10002,20.0,10B,8.0,A,2010-12-16 00:00:00,1,"(40.7135097, -73.9859414)"
170420,318694,10002,20.0,06B,27.0,B,2011-08-16 00:00:00,1,"(40.7135097, -73.9859414)"
170421,318695,10002,20.0,10F,22.0,,,1,"(40.7135097, -73.9859414)"
170422,318754,10002,20.0,02G,14.0,B,2010-11-22 00:00:00,1,"(40.7135097, -73.9859414)"
170423,318755,10002,20.0,08A,44.0,,,1,"(40.7135097, -73.9859414)"
170424,318756,10002,20.0,04M,42.0,,,1,"(40.7135097, -73.9859414)"
170425,318757,10002,20.0,06A,53.0,,,1,"(40.7135097, -73.9859414)"
170426,318870,10002,48.0,02G,21.0,,,1,"(40.7135097, -73.9859414)"
170427,318871,10002,48.0,10H,21.0,,,1,"(40.7135097, -73.9859414)"
170428,318872,10002,48.0,09C,10.0,A,2011-07-19 00:00:00,1,"(40.7135097, -73.9859414)"
170429,318873,10002,48.0,04J,41.0,C,2011-12-06 00:00:00,1,"(40.7135097, -73.9859414)"
170430,318874,10002,48.0,06E,41.0,C,2011-12-06 00:00:00,1,"(40.7135097, -73.9859414)"
170431,318875,10002,48.0,04H,29.0,,,1,"(40.7135097, -73.9859414)"
170432,318883,10002,20.0,10F,19.0,C,2011-03-12 00:00:00,1,"(40.7135097, -73.9859414)"
170433,318884,10002,20.0,02G,26.0,C,2011-10-17 00:00:00,1,"(40.7135097, -73.9859414)"
170434,318885,10002,20.0,06F,25.0,,,1,"(40.7135097, -73.9859414)"
170435,318886,10002,20.0,10F,30.0,C,2012-03-21 00:00:00,1,"(40.7135097, -73.9859414)"
170436,318888,10002,20.0,05B,45.0,,,1,"(40.7135097, -73.9859414)"
170437,318889,10002,20.0,06A,21.0,B,2013-01-28 00:00:00,1,"(40.7135097, -73.9859414)"
170438,319164,10002,20.0,02G,78.0,,,1,"(40.7135097, -73.9859414)"
170439,319165,10002,20.0,04J,78.0,,,1,"(40.7135097, -73.9859414)"
170440,319166,10002,20.0,04N,26.0,C,2011-10-17 00:00:00,1,"(40.7135097, -73.9859414)"
170441,319167,10002,20.0,06F,34.0,,,1,"(40.7135097, -73.9859414)"
170442,319168,10002,20.0,06D,36.0,,,1,"(40.7135097, -73.9859414)"
170443,319330,10002,20.0,06G,36.0,,,1,"(40.7135097, -73.9859414)"
170444,319510,10002,5.0,04N,62.0,,,1,"(40.7135097, -73.9859414)"
170445,319511,10002,5.0,08A,19.0,B,2011-01-25 00:00:00,1,"(40.7135097, -73.9859414)"
170446,319512,10002,5.0,10F,17.0,B,2011-07-08 00:00:00,1,"(40.7135097, -73.9859414)"
170447,319513,10002,5.0,08A,29.0,,,1,"(40.7135097, -73.9859414)"
170448,319514,10002,5.0,04H,23.0,,,1,"(40.7135097, -73.9859414)"
170449,319531,10002,20.0,06C,27.0,C,2011-03-10 00:00:00,1,"(40.7135097, -73.9859414)"
170450,319532,10002,20.0,04N,42.0,,,1,"(40.7135097, -73.9859414)"
170451,319533,10002,20.0,06A,42.0,,,1,"(40.7135097, -73.9859414)"
170452,319534,10002,20.0,08A,42.0,,,1,"(40.7135097, -73.9859414)"
170453,319535,10002,20.0,04L,33.0,,,1,"(40.7135097, -73.9859414)"
170454,319536,10002,20.0,04M,37.0,,,1,"(40.7135097, -73.9859414)"
170455,319537,10002,20.0,08A,37.0,,,1,"(40.7135097, -73.9859414)"
170456,319678,10002,55.0,08A,41.0,,,1,"(40.7135097, -73.9859414)"
170457,319679,10002,55.0,02G,25.0,B,2010-12-30 00:00:00,1,"(40.7135097, -73.9859414)"
170458,319680,10002,55.0,06E,25.0,B,2010-12-30 00:00:00,1,"(40.7135097, -73.9859414)"
170459,319681,10002,55.0,06E,45.0,,,1,"(40.7135097, -73.9859414)"
170460,319682,10002,55.0,06A,31.0,C,2011-09-13 00:00:00,1,"(40.7135097, -73.9859414)"
170461,319683,10002,55.0,04A,23.0,,,1,"(40.7135097, -73.9859414)"
170462,319684,10002,55.0,08A,14.0,B,2012-02-21 00:00:00,1,"(40.7135097, -73.9859414)"
170463,319737,10002,20.0,04A,60.0,,,1,"(40.7135097, -73.9859414)"
170464,319738,10002,20.0,10H,13.0,B,2011-09-26 00:00:00,1,"(40.7135097, -73.9859414)"
170465,319739,10002,20.0,08A,14.0,,,1,"(40.7135097, -73.9859414)"
170466,319740,10002,20.0,06A,25.0,B,2012-01-17 00:00:00,1,"(40.7135097, -73.9859414)"
170467,319741,10002,20.0,02G,71.0,,,1,"(40.7135097, -73.9859414)"
170468,319742,10002,20.0,,,,,1,"(40.7135097, -73.9859414)"
170469,319743,10002,20.0,02G,29.0,,,1,"(40.7135097, -73.9859414)"
170470,320290,10002,3.0,04H,21.0,,,1,"(40.7135097, -73.9859414)"
170471,320291,10002,3.0,08A,21.0,,,1,"(40.7135097, -73.9859414)"
170472,320292,10002,3.0,10E,5.0,A,2011-07-12 00:00:00,1,"(40.7135097, -73.9859414)"
170473,320293,10002,3.0,08C,6.0,A,2012-01-25 00:00:00,1,"(40.7135097, -73.9859414)"
170474,320294,10002,3.0,10F,6.0,A,2012-01-25 00:00:00,1,"(40.7135097, -73.9859414)"
170475,320385,10002,20.0,04M,53.0,,,1,"(40.7135097, -73.9859414)"
170476,320386,10002,20.0,04M,7.0,C,2011-11-04 00:00:00,1,"(40.7135097, -73.9859414)"
170477,320726,10002,20.0,10F,22.0,,,1,"(40.7135097, -73.9859414)"
